Address,Balance
osmo1prhuaxydkxq3m3trcq0smysljlftxgrkn2wjnh,396773817
osmo1x2am06w9g5upzlemz2p87w4254xerm5254achu,26940590376
osmo1yas4uf89c3v33gun2xd44paau3cfvwarwfsuj0,999999
osmo1df7n2g0gvqeeg47qhpyzdge6dslnujvy8alxdu,2273827308
osmo1c497zfps8ljk0jhjhnj27d0kw7mne0ua528mh3,785633
osmo1q7wnmjs3xcmvhj94z5fp2ud2yrc2qtrxm4qr9a,6046118
osmo1zzd59etmzacz3rxs94w2gjzk4w6rd2yqudjvrv,21092308437
osmo1za42cqefcj0wchfvslwy34p4cmx2uemseud3vx,300831035
osmo13ee8mf4zpkgkv54gvy9nt8sech5rqq8hlvp9lu,5690670660
osmo1a9fzsszllgx33u7wxg9ew5rkhnz2latn3mewqd,9999999
osmo1rppl08a36u0hjww7p02c5d79mdkgegcxwpuw3r,3714524646
osmo1rx95rrjmmcdmyq5ys9m54l3ewl8n7lvuhnqe7g,472255012
osmo1yh8xjzwsfphlzf5dcal48r9r7m2d5h0rffjz83,6331939453
osmo1axag3ktwcstqy43ygjxzpcskqwnydt8kgnyg2c,120260941
osmo1au8undkhgp0uqa0l60d5wjgyjgldmhan9myk2f,985861068
osmo1xa62t6jes96usavk2hmxltssswwptmw33jhsrp,2518558841
osmo1fwrdyu089snfj464cwpant96fuzf4xpkjj4lpg,244409210
osmo1cnvggq7thpdztvlq55vcypq95h2m0mxk5swfku,628862368
osmo12t99avgep6y5suz87p0xnzk7fdff4dj3qzqte8,698066430
osmo1hmyql64eynzeygy4nxd90tqh4d99xl37nnaaud,1
osmo17hgqrvhgpk4fc4c4ennmeyjmr2k4t73c5wxj7d,8193750628
osmo1f5da8843g7r43gknzqdm9zrf3tdmk5dz5seldg,749321115
osmo1tscg4ugcvfjshde54d4uvnhmlha0z0v8jrc40n,50126510
osmo1vdhpc2e8k6u8svkxc0tnfs38j4x2gdsj24fzqa,10002005855
osmo147cq9ae52gmzn9x7vzly7a69hr2hwx06qz44um,162428322101
osmo1qhlmw8dxf4vwdf5xkwnc0wfyyqefqmk034qfjf,1294359
osmo1rayg8nv8g2ujrde883xm34z8xst89wvgqtj374,7957051833
osmo1r7sp8qf07jtj437tcz47jpthlqw3ffthlvdjjy,378304159
osmo1y4f5hghlfftvnwsautsy2h6smfnguxlu77gjte,371627690
osmo1v0ulf080nvcfu36ln8t6rkr4mg45mks3uzs8qt,1250885
osmo1vjmcjwymesp5temynnquxww3r6vg5v27p27a7w,109234
osmo1wx33kqfj0zs3kpsu90resx5e7zn9v5khqh5wsd,1852715
osmo1k88h5qv5qekzrtq7p5rn5pyp5exc7rnpms38y0,110995167742
osmo1qly96sy3yklkwv6cf4he5ves4qu8yn58jnqsyy,100000000
osmo1ywzuhny78uhuqvlc5ffcyycaup95twrlsmpmmf,23443700498
osmo1y0qu8xgv9dm39pap5l52putj433rw4grv88f6m,9432974450
osmo1evfcg5u75f39y2gm8lvr88v25t88ul3ns4zd9r,16433101286
osmo179xumllgnqec2wyykn8dwdhusu2clysxq8m6qr,15531909851
osmo1cc8letqg84mse0ghyvs4mjfqljvc2awd6muz37,14678736516
osmo1a0wawdhpl8zf4cwslmn47xhrtwp2hx9tkr2ghg,9000000
